iter	Logloss
0	0.6783556573
1	0.6652087662
2	0.6514855849
3	0.6384455493
4	0.6290913447
5	0.6176680063
6	0.6077310206
7	0.5978278401
8	0.5879087429
9	0.5787387314
10	0.5707623587
11	0.5633222121
12	0.5557157951
13	0.5491901059
14	0.5423818387
15	0.5363169514
16	0.5314656615
17	0.5253176718
18	0.5200490192
19	0.5148914055
20	0.5104631919
21	0.506260238
22	0.5016907208
23	0.4977782518
24	0.4938066443
25	0.4899563254
26	0.4859811258
27	0.4827759953
28	0.4796673653
29	0.4765025139
30	0.4736033223
31	0.4710208265
32	0.4685905103
33	0.466125608
34	0.4634174624
35	0.4614648254
36	0.4591807049
37	0.4571527083
38	0.4549459471
39	0.4531526005
40	0.4513339401
41	0.4495784127
42	0.4480064903
43	0.4474101451
44	0.4459527528
45	0.4448907637
46	0.4433848754
47	0.4421625327
48	0.4409385689
49	0.4394124137
50	0.43809995
51	0.4367631242
52	0.4362488352
53	0.4348986149
54	0.4338277176
55	0.4326057227
56	0.431499574
57	0.43052234
58	0.4295669383
59	0.4284999711
60	0.427596959
61	0.4268877091
62	0.4259632045
63	0.4250168211
64	0.4242221173
65	0.4234794473
66	0.4226594748
67	0.4219922901
68	0.4212559311
69	0.4205640441
70	0.4199434043
71	0.4191703477
72	0.4186325306
73	0.4180448444
74	0.4175019878
75	0.4169648821
76	0.4164907192
77	0.415893813
78	0.4153858723
79	0.4149718724
80	0.4145207754
81	0.4138791727
82	0.4134124767
83	0.4129113874
84	0.4123698376
85	0.4118911589
86	0.4114757324
87	0.4110713811
88	0.4106756484
89	0.4103198905
90	0.409837321
91	0.4094203794
92	0.4090590141
93	0.4086428288
94	0.4084169028
95	0.4080649278
96	0.4077772462
97	0.4074189427
98	0.4070815947
99	0.4067746867
100	0.4064727555
101	0.4061149704
102	0.4057530476
103	0.4054715419
104	0.4051590557
105	0.4049198457
106	0.404664109
107	0.4043794009
108	0.4040456575
109	0.4037675167
110	0.4034350897
111	0.403118604
112	0.4027516959
113	0.4024090484
114	0.4020545295
115	0.4017183685
116	0.4013981935
117	0.4012051247
118	0.4008184313
119	0.4005525545
120	0.4003831246
121	0.4000780311
122	0.3998519245
123	0.3995735489
124	0.3993349493
125	0.3991046989
126	0.3988168576
127	0.3985145422
128	0.3982938452
129	0.3979896752
130	0.3977949603
131	0.3977313136
132	0.3975186319
133	0.3973339642
134	0.3971123555
135	0.3968529005
136	0.3965700995
137	0.3963052397
138	0.3960714009
139	0.3958725198
140	0.3956427055
141	0.3955835101
142	0.3954112826
143	0.3951930457
144	0.3949642452
145	0.3947911685
146	0.3946573621
147	0.3944666498
148	0.3942303273
149	0.3939316588
150	0.3936647681
151	0.393438991
152	0.3932138449
153	0.3930365409
154	0.3928394202
155	0.3926729069
156	0.3925194771
157	0.3923057795
158	0.3920541794
159	0.3919169558
160	0.3917678991
161	0.3915793755
162	0.3915011303
163	0.3913081896
164	0.3911432626
165	0.3909610616
166	0.3907995913
167	0.3906170825
168	0.3903662038
169	0.3901554513
170	0.3900545941
171	0.389852273
172	0.3896496532
173	0.3894913202
174	0.3893556847
175	0.3890949615
176	0.3889527127
177	0.3886840543
178	0.3884754277
179	0.3883681921
180	0.3881412825
181	0.3879441938
182	0.3877503521
183	0.387649523
184	0.3875564876
185	0.3874307027
186	0.3872970767
187	0.3872156343
188	0.3870345882
189	0.3869019552
190	0.3868240309
191	0.3866731987
192	0.3864419007
193	0.3862775277
194	0.3860901886
195	0.3858941921
196	0.3857458486
197	0.3857108485
198	0.3855917026
199	0.3854362826
200	0.3853373614
201	0.3851634694
202	0.3849713231
203	0.384839025
204	0.384749733
205	0.3845809295
206	0.3843566201
207	0.3843261475
208	0.3842356523
209	0.3840975439
210	0.3839674601
211	0.3838426734
212	0.3837008758
213	0.3835406101
214	0.3834609774
215	0.3832929749
216	0.3831194184
217	0.382959599
218	0.3827693774
219	0.3825649573
220	0.3823762213
221	0.382275048
222	0.3820882518
223	0.3820039684
224	0.381755586
225	0.3815946482
226	0.3814615704
227	0.381343426
228	0.3811690867
229	0.3810448913
230	0.3809240435
231	0.3807862321
232	0.3806752764
233	0.380567521
234	0.380444606
235	0.3803058575
236	0.3802001952
237	0.3799491972
238	0.3799357221
239	0.3798370932
240	0.379701753
241	0.3795649081
242	0.3794429112
243	0.3793396837
244	0.3791837934
245	0.3791024277
246	0.3789219676
247	0.3786603839
248	0.3784494695
249	0.3783149553
250	0.3782375229
251	0.3781437545
252	0.3780378853
253	0.3779284971
254	0.3778397765
255	0.3776623217
256	0.3775553356
257	0.377376993
258	0.3771635859
259	0.3770845513
260	0.376994077
261	0.3767749967
262	0.3766991506
263	0.3766769133
264	0.3765327623
265	0.3764135929
266	0.3762799103
267	0.3762211552
268	0.3761390909
269	0.3760015591
270	0.3758411265
271	0.3756429032
272	0.3755458884
273	0.3754425384
274	0.3753261061
275	0.3752039222
276	0.3751618866
277	0.3750174851
278	0.3748560291
279	0.3747696537
280	0.3745425656
281	0.3744199751
282	0.3742906318
283	0.3741376885
284	0.3740030779
285	0.3739321091
