iter	Passed	Remaining
0	4	4606
1	9	4530
2	14	4666
3	18	4601
4	22	4500
5	27	4489
6	32	4559
7	37	4590
8	41	4566
9	45	4535
10	50	4519
11	53	4436
12	58	4404
13	61	4343
14	65	4322
15	70	4315
16	73	4251
17	77	4246
18	82	4258
19	87	4277
20	91	4276
21	96	4272
22	100	4276
23	105	4277
24	109	4273
25	113	4263
26	118	4260
27	122	4266
28	127	4264
29	131	4264
30	136	4260
31	140	4264
32	145	4273
33	150	4269
34	154	4259
35	158	4246
36	162	4231
37	166	4216
38	170	4203
39	174	4194
40	179	4190
41	183	4180
42	187	4166
43	189	4116
44	193	4102
45	197	4093
46	201	4083
47	205	4073
48	209	4067
49	213	4062
50	218	4068
51	223	4068
52	226	4044
53	230	4039
54	235	4039
55	239	4040
56	244	4042
57	248	4037
58	252	4029
59	256	4022
60	260	4013
61	264	4005
62	268	3996
63	273	3993
64	277	3993
65	281	3987
66	286	3984
67	290	3975
68	294	3968
69	298	3959
70	302	3951
71	306	3945
72	309	3936
73	314	3934
74	318	3927
75	322	3923
76	327	3920
77	331	3914
78	335	3907
79	339	3903
80	343	3901
81	347	3894
82	352	3889
83	356	3887
84	360	3882
85	364	3875
86	369	3874
87	373	3875
88	378	3871
89	382	3868
90	387	3867
91	391	3864
92	395	3857
93	399	3852
94	403	3844
95	407	3838
96	411	3833
97	416	3828
98	420	3826
99	424	3821
100	428	3818
101	433	3819
102	438	3818
103	442	3816
104	447	3814
105	451	3811
106	456	3806
107	460	3800
108	464	3794
109	468	3791
110	472	3786
111	477	3782
112	481	3780
113	485	3777
114	490	3774
115	494	3771
116	499	3768
117	504	3767
118	508	3768
119	514	3769
120	518	3765
121	522	3762
122	527	3758
123	531	3755
124	535	3750
125	539	3744
126	544	3739
127	548	3735
128	552	3730
129	556	3726
130	560	3720
131	563	3708
132	568	3704
133	572	3698
134	576	3694
135	580	3688
136	584	3684
137	589	3679
138	593	3673
139	597	3668
140	601	3662
141	605	3656
142	609	3652
143	613	3646
144	617	3642
145	621	3637
146	625	3632
147	630	3627
148	634	3622
149	638	3619
150	643	3618
151	648	3616
152	652	3614
153	657	3610
154	661	3607
155	666	3603
156	670	3600
157	674	3595
158	679	3591
159	683	3588
160	687	3582
161	692	3579
162	696	3577
163	700	3572
164	705	3569
165	709	3565
166	713	3560
167	718	3556
168	722	3552
169	726	3547
170	730	3543
171	734	3537
172	739	3534
173	743	3530
174	748	3526
175	752	3523
176	757	3520
177	761	3515
178	765	3511
179	769	3506
180	773	3501
181	778	3497
182	782	3492
183	786	3488
184	791	3487
185	796	3483
186	800	3481
187	805	3478
188	809	3472
189	813	3468
190	817	3464
191	822	3459
192	826	3455
193	830	3450
194	834	3446
195	839	3442
196	843	3436
197	846	3429
198	850	3424
199	854	3419
200	859	3415
201	863	3410
202	867	3407
203	872	3402
204	876	3397
205	880	3392
206	884	3387
207	887	3378
208	891	3373
209	895	3370
210	899	3365
211	904	3360
212	908	3357
213	913	3355
214	917	3351
215	923	3352
216	929	3352
217	935	3357
218	940	3354
219	945	3351
220	949	3348
221	954	3344
222	958	3341
223	963	3336
224	967	3332
225	971	3326
226	975	3322
227	980	3318
228	984	3313
229	988	3309
230	992	3305
231	996	3300
232	1001	3296
233	1005	3291
234	1009	3286
235	1014	3283
236	1018	3278
237	1022	3274
238	1026	3266
239	1030	3262
240	1034	3258
241	1038	3253
242	1043	3249
243	1047	3245
244	1051	3240
245	1055	3235
246	1059	3230
247	1064	3226
248	1068	3222
249	1072	3217
250	1077	3213
251	1081	3210
252	1085	3205
253	1090	3202
254	1094	3197
255	1098	3193
256	1103	3189
257	1107	3186
258	1112	3182
259	1116	3178
260	1120	3173
261	1124	3168
262	1128	3163
263	1131	3155
264	1136	3151
265	1140	3146
266	1144	3141
267	1148	3137
268	1152	3132
269	1156	3127
270	1160	3122
